model,cond,RMSE,int,slp,sub,a,b,deriv_a,deriv_b
pwr,SM,39.58696601228093,-0.24046856022941351,-0.16570852153313811,127,-0.24046856022941351,-0.16570852153313811,0.03984768959081849,-1.1657085215331382
pwr,S,95.63635382656054,-0.40654240109689244,-0.08262764816575426,128,-0.40654240109689244,-0.08262764816575426,0.03359164248229497,-1.0826276481657542
pwr,FM,48.921888317506536,-0.19093857513546028,-0.042377801823877945,128,-0.19093857513546028,-0.042377801823877945,0.008091557097624165,-1.0423778018238778
pwr,SM,53.24577829854813,0.04955174990524861,-0.13343755411793923,128,0.04955174990524861,-0.13343755411793923,-0.006612064309620202,-1.1334375541179393
pwr,S,80.1188738906569,-0.53764991235029,-0.044275659317771304,129,-0.53764991235029,-0.044275659317771304,0.023804804351451044,-1.0442756593177713
pwr,FM,51.181975404895795,-0.19078693785756207,-0.06022405196381034,129,-0.19078693785756207,-0.06022405196381034,0.011489962459550071,-1.0602240519638104
pwr,SM,44.00443075167797,-0.06799781470862347,-0.07057088935153923,129,-0.06799781470862347,-0.07057088935153923,0.004798666257948734,-1.0705708893515393
pwr,S,98.11141710139175,-0.37122408716629957,-0.12419435556287502,130,-0.37122408716629957,-0.12419435556287502,0.04610393627503512,-1.124194355562875
pwr,FM,50.837580863429345,-0.0681739729987409,-0.15776706211281266,130,-0.0681739729987409,-0.15776706211281266,0.010755607432569567,-1.1577670621128127
pwr,SM,66.9982603513471,-0.061958253669966476,-0.15032164492842048,130,-0.061958253669966476,-0.15032164492842048,0.009313666608561706,-1.1503216449284204
pwr,S,58.281825864996485,-0.6291879056827401,-0.07863486916452671,131,-0.6291879056827401,-0.07863486916452671,0.049476108643264835,-1.0786348691645267
pwr,FM,45.0524340366151,-0.5117800193513644,-0.06328831775274855,131,-0.5117800193513644,-0.06328831775274855,0.032389696484216954,-1.0632883177527486
pwr,SM,34.56053700309407,-0.3794713753841634,-0.05177604550015822,131,-0.3794713753841634,-0.05177604550015822,0.019647527197898064,-1.0517760455001581
pwr,S,69.27482269914684,-0.6052713256030647,-0.09848128163708907,132,-0.6052713256030647,-0.09848128163708907,0.059607895883569656,-1.098481281637089
pwr,FM,40.130751643123965,-0.35180952873396737,-0.15730084765098756,132,-0.35180952873396737,-0.15730084765098756,0.05533993708154753,-1.1573008476509876
pwr,SM,34.31443850203628,-0.17543432916950724,-0.13216996530713265,132,-0.17543432916950724,-0.13216996530713265,0.023187149200013864,-1.1321699653071327
pwr,S,109.21447255580857,-0.46622365825118817,-0.11387432438898304,133,-0.46622365825118817,-0.11387432438898304,0.05309090409751417,-1.113874324388983
pwr,FM,49.15598785827135,-0.23069394217296646,-0.148036157825041,133,-0.23069394217296646,-0.148036157825041,0.03415104483279815,-1.148036157825041
