sub,sess,run,trial_num,cond,task,RT,acc,mult_cond
109,Pre,2,12,1,shape,1.1402,1,single
109,Pre,2,13,2,sound,1.0933,1,single
109,Pre,2,14,3,shape,1.4594,1,multi-second
109,Pre,2,14,3,sound,1.0574,1,multi-first
109,Pre,2,15,2,sound,1.2453,1,single
109,Pre,2,16,3,shape,1.3983,1,multi-second
109,Pre,2,16,3,sound,1.0183,1,multi-first
109,Pre,2,17,3,shape,2.0394,1,multi-second
109,Pre,2,17,3,sound,1.6114,1,multi-first
109,Pre,2,18,1,shape,1.1365,1,single
109,Pre,3,1,2,sound,1.0822,1,single
109,Pre,3,2,3,shape,1.4303,1,multi-second
109,Pre,3,2,3,sound,0.93026,1,multi-first
109,Pre,3,3,1,shape,0.98321,1,single
109,Pre,3,4,2,sound,1.1303,1,single
109,Pre,3,5,2,sound,0.93103,1,single
109,Pre,3,6,1,shape,1.1162,1,single
109,Pre,3,7,3,shape,1.5263,1,multi-second
109,Pre,3,7,3,sound,1.0623,1,multi-first
109,Pre,3,8,2,sound,0.95223,1,single
109,Pre,3,10,1,shape,0.78686,1,single
109,Pre,3,11,1,shape,0.78603,1,single
109,Pre,3,12,2,sound,1.1393,1,single
109,Pre,3,13,3,shape,1.5901,1,multi-second
109,Pre,3,13,3,sound,1.1851,1,multi-first
109,Pre,3,14,2,sound,0.94306,1,single
109,Pre,3,15,1,shape,0.91703,1,single
109,Pre,3,16,3,shape,1.8657,1,multi-second
109,Pre,3,16,3,sound,1.2747,1,multi-first
109,Pre,3,17,3,shape,1.3732,1,multi-second
109,Pre,3,17,3,sound,0.86219,1,multi-first
109,Pre,3,18,3,shape,1.3882,1,multi-second
109,Pre,3,18,3,sound,1.1013,1,multi-first
109,Pre,4,1,2,sound,1.5448,1,single
109,Pre,4,2,1,shape,1.2401,1,single
109,Pre,4,4,3,shape,1.2831,1,multi-second
109,Pre,4,4,3,sound,0.90709,1,multi-first
109,Pre,4,5,1,shape,0.99477,1,single
109,Pre,4,6,3,shape,1.5751,1,multi-second
109,Pre,4,6,3,sound,1.043,1,multi-first
109,Pre,4,7,2,sound,1.1712,1,single
109,Pre,4,8,2,sound,0.89106,1,single
109,Pre,4,9,3,shape,1.4656,1,multi-second
109,Pre,4,9,3,sound,0.87063,1,multi-first
109,Pre,4,10,2,sound,1.1258,1,single
109,Pre,4,11,3,shape,1.536,1,multi-second
109,Pre,4,11,3,sound,1.063,1,multi-first
109,Pre,4,12,3,shape,1.5298,1,multi-second
109,Pre,4,12,3,sound,1.1198,1,multi-first
109,Pre,4,13,3,shape,1.6871,1,multi-second
109,Pre,4,13,3,sound,1.3121,1,multi-first
109,Pre,4,14,1,shape,0.86807,1,single
109,Pre,4,15,1,shape,0.82663,1,single
109,Pre,4,16,1,shape,1.009,1,single
109,Pre,4,17,2,sound,1.1757,1,single
109,Pre,4,18,1,shape,1.0588,1,single
109,Pre,5,1,2,sound,0.87309,1,single
109,Pre,5,2,2,sound,0.73165,1,single
109,Pre,5,4,1,shape,0.65516,1,single
109,Pre,5,5,2,sound,1.1475,1,single
109,Pre,5,7,2,sound,1.1128,1,single
109,Pre,5,8,3,shape,1.7543,1,multi-second
109,Pre,5,8,3,sound,1.4713,1,multi-first
109,Pre,5,9,3,shape,1.2003,1,multi-second
109,Pre,5,9,3,sound,0.86226,1,multi-first
109,Pre,5,10,1,shape,1.3171,1,single
109,Pre,5,11,3,shape,1.5942,1,multi-second
109,Pre,5,11,3,sound,1.2102,1,multi-first
109,Pre,5,12,2,sound,1.0042,1,single
109,Pre,5,13,1,shape,0.91814,1,single
109,Pre,5,14,3,shape,1.5763,1,multi-second
109,Pre,5,14,3,sound,1.0773,1,multi-first
109,Pre,5,15,2,sound,0.85818,1,single
109,Pre,5,16,3,shape,1.5977,1,multi-second
109,Pre,5,16,3,sound,1.2157,1,multi-first
109,Pre,5,17,1,shape,0.93438,1,single
109,Pre,5,18,3,shape,1.8296,1,multi-second
109,Pre,5,18,3,sound,1.2996,1,multi-first
109,Pre,6,1,2,sound,1.0567,1,single
109,Pre,6,2,3,shape,1.4176,1,multi-second
109,Pre,6,2,3,sound,1.0026,1,multi-first
109,Pre,6,3,3,shape,1.4336,1,multi-second
109,Pre,6,3,3,sound,1.0326,1,multi-first
109,Pre,6,4,1,shape,0.74629,1,single
109,Pre,6,5,1,shape,0.83519,1,single
109,Pre,6,6,2,sound,1.0682,1,single
109,Pre,6,7,1,shape,0.78422,1,single
109,Pre,6,8,1,shape,0.59899,1,single
109,Pre,6,9,3,shape,1.7011,1,multi-second
109,Pre,6,9,3,sound,1.1581,1,multi-first
109,Pre,6,10,2,sound,0.95112,1,single
109,Pre,6,11,2,sound,0.77293,1,single
109,Pre,6,12,1,shape,0.79202,1,single
109,Pre,6,13,2,sound,0.95411,1,single
109,Pre,6,15,2,sound,0.66517,1,single
109,Pre,6,16,3,shape,1.9171,1,multi-second
109,Pre,6,16,3,sound,1.4901,1,multi-first
109,Pre,6,17,3,shape,1.6843,1,multi-second
109,Pre,6,17,3,sound,1.1153,1,multi-first
109,Pre,6,18,1,shape,1.029,1,single
110,Pre,1,1,3,shape,2.3207,1,multi-second
110,Pre,1,1,3,sound,1.7757,1,multi-first
110,Pre,1,2,1,shape,1.3216,1,single
110,Pre,1,3,3,shape,1.7258,1,multi-second
110,Pre,1,3,3,sound,1.5208,1,multi-first
110,Pre,1,4,2,sound,1.3199,1,single
110,Pre,1,5,2,sound,1.2611,1,single
110,Pre,1,6,2,sound,1.0036,1,single
110,Pre,1,7,1,shape,1.0726,1,single
110,Pre,1,8,1,shape,0.79828,1,single
110,Pre,1,9,2,sound,1.0744,1,single
110,Pre,1,10,3,shape,1.8615,1,multi-second
110,Pre,1,10,3,sound,1.6085,1,multi-first
110,Pre,1,11,2,sound,1.3774,1,single
110,Pre,1,12,1,shape,1.1151,1,single
110,Pre,1,13,2,sound,1.1066,1,single
110,Pre,1,14,3,shape,1.2775,1,multi-second
