sub,sess,mult_cond,CV,group,cort_to_Put,cort_to_CN
237,Pre,multi-first,0.23843411874673706,control,-1.65726822797257,-2.76232413062317
237,Pre,multi-second,0.18280601401370683,control,-1.65726822797257,-2.76232413062317
238,Pre,single,0.32545807220512063,control,-1.14919559839245,0.743339738411158
238,Pre,multi-first,0.25958288389354944,control,-1.14919559839245,0.743339738411158
238,Pre,multi-second,0.23634107131740442,control,-1.14919559839245,0.743339738411158
239,Pre,single,0.3411052773404947,control,-0.89270554814307,-0.681143328525162
239,Pre,multi-first,0.21854042901575166,control,-0.89270554814307,-0.681143328525162
239,Pre,multi-second,0.22666906094443898,control,-0.89270554814307,-0.681143328525162
240,Pre,single,0.2484871736121746,control,1.7464681050564,-0.238894473227603
240,Pre,multi-first,0.21756603458610543,control,1.7464681050564,-0.238894473227603
240,Pre,multi-second,0.17683532721619158,control,1.7464681050564,-0.238894473227603
243,Pre,single,0.283490248403991,control,-0.282191385863068,-0.457638642201215
243,Pre,multi-first,0.22649304748476526,control,-0.282191385863068,-0.457638642201215
243,Pre,multi-second,0.20654877390934542,control,-0.282191385863068,-0.457638642201215
244,Pre,single,0.26124645718387024,control,0.663918062087464,-0.110169155910622
244,Pre,multi-first,0.27280500897775706,control,0.663918062087464,-0.110169155910622
244,Pre,multi-second,0.2786785794944291,control,0.663918062087464,-0.110169155910622
246,Pre,single,0.3041406861639216,control,-0.580358861421163,0.695627546205131
246,Pre,multi-first,0.25365635637107475,control,-0.580358861421163,0.695627546205131
