sub,block,rest_block,trial_num,set_size,targ_or,resp,RT
201,2,6,2,8,2,2,0.65644
201,2,6,3,16,2,2,1.9517
201,2,6,4,8,1,1,0.86482
201,2,6,5,8,2,2,0.66401
201,2,6,6,12,1,1,0.95927
201,2,6,7,8,2,2,1.3357
201,2,6,8,12,1,1,0.74443
201,2,6,9,16,2,1,1.0956
201,2,6,10,8,1,1,1.4878
201,2,6,11,16,1,1,0.92714
201,2,6,12,12,2,2,1.0238
201,2,6,13,16,2,2,0.99132
201,2,6,14,16,1,1,1.264
201,2,6,15,8,2,2,1.1352
201,2,6,16,16,2,2,0.98309
201,2,6,17,12,1,2,1.3439
201,2,6,18,12,2,2,1.5116
201,2,7,1,8,2,2,1.0997
201,2,7,2,12,2,2,1.8317
201,2,7,3,16,1,1,0.95109
201,2,7,4,16,2,2,0.85525
201,2,7,5,8,1,1,1.4003
201,2,7,6,16,1,1,0.9029
201,2,7,7,16,2,2,1.4316
201,2,7,8,12,1,1,1.3041
201,2,7,9,12,2,2,1.9511
201,2,7,10,16,1,1,1.6074
201,2,7,11,12,2,2,1.2878
201,2,7,12,8,2,2,1.4565
201,2,7,13,12,1,1,1.3356
201,2,7,14,8,1,1,1.1355
201,2,7,15,8,2,2,0.63239
201,2,7,16,8,1,1,1.3763
201,2,7,17,12,2,2,0.93571
201,2,7,18,16,1,1,0.95938
201,2,8,1,12,1,1,1.1398
201,2,8,2,8,2,2,0.79246
201,2,8,3,12,1,1,0.76024
201,2,8,4,12,1,1,0.93467
201,2,8,5,8,2,2,0.73614
201,2,8,6,12,1,1,1.072
201,2,8,7,8,2,2,1.2403
201,2,8,8,16,1,1,1.3033
201,2,8,9,16,2,2,0.86194
201,2,8,10,16,1,1,1.2311
201,2,8,11,12,2,2,1.1839
201,2,8,12,8,1,1,1.2005
201,2,8,13,16,2,1,1.3984
201,2,8,14,16,2,2,1.0313
201,2,8,15,8,1,1,0.95227
201,2,8,16,12,2,2,1.359
201,2,8,17,16,1,1,0.82307
201,2,8,18,8,2,2,1.1522
201,2,9,1,8,2,2,0.89873
201,2,9,2,16,1,1,0.63206
201,2,9,3,12,1,1,0.77632
201,2,9,4,12,2,2,1.0958
201,2,9,5,8,1,1,1.0004
201,2,9,6,12,2,2,0.73513
201,2,9,7,16,2,2,0.6637
201,2,9,8,8,2,2,0.93657
201,2,9,9,12,1,1,1.0877
201,2,9,10,16,2,2,0.77519
201,2,9,11,8,1,1,0.80744
201,2,9,12,8,1,1,1.1523
201,2,9,13,12,2,2,0.99975
201,2,9,14,16,2,2,0.65638
201,2,9,15,12,2,2,0.70438
201,2,9,16,8,1,1,0.9197
201,2,9,17,16,1,1,1.8074
