sub,sess,run,trial_num,cond,shape_stim,shape_resp,shape_RT,shape_acc,sound_stim,sound_resp,sound_RT,sound_acc
109,1,1,4,1,2,2,0.93295,1,NaN,0,NaN,0
109,1,1,5,2,NaN,0,NaN,0,2,2,0.85131,1
109,1,1,6,1,2,2,1.1918,1,NaN,0,NaN,0
109,1,1,7,2,NaN,0,NaN,0,2,2,1.1512,1
109,1,1,8,3,2,2,1.2689,1,2,2,0.93894,1
109,1,1,9,3,2,2,1.5167,1,1,1,0.78972,1
109,1,1,10,1,1,1,1.1882,1,NaN,0,NaN,0
109,1,1,11,3,2,2,1.7607,1,2,2,1.3888,1
109,1,1,12,2,NaN,0,NaN,0,2,2,1.0576,1
109,1,1,13,1,1,1,1.0441,1,NaN,0,NaN,0
109,1,1,14,3,2,2,1.0587,1,1,1,0.62465,1
109,1,1,15,2,NaN,0,NaN,0,1,1,1.1042,1
109,1,1,16,3,1,1,1.272,1,2,2,0.83498,1
109,1,1,17,1,1,1,0.98159,1,NaN,0,NaN,0
109,1,1,18,3,1,1,1.5387,1,1,1,0.99177,1
109,1,2,1,2,NaN,0,NaN,0,1,1,1.0367,1
109,1,2,2,3,2,2,1.5878,1,2,2,1.1928,1
109,1,2,3,3,1,1,1.2917,1,2,2,0.8577,1
109,1,2,4,1,1,1,1.1153,1,NaN,0,NaN,0
109,1,2,5,1,2,2,0.89928,1,NaN,0,NaN,0
109,1,2,6,2,NaN,0,NaN,0,2,2,1.1463,1
109,1,2,7,1,1,1,1.0139,1,NaN,0,NaN,0
109,1,2,8,1,1,1,0.67042,1,NaN,0,NaN,0
109,1,2,9,3,2,2,1.8323,1,1,1,1.5033,1
109,1,2,10,2,NaN,0,NaN,0,2,2,2.0823,1
109,1,2,11,2,NaN,0,NaN,0,1,1,0.8244,1
109,1,2,12,1,2,2,1.1402,1,NaN,0,NaN,0
109,1,2,13,2,NaN,0,NaN,0,2,2,1.0933,1
109,1,2,14,3,1,1,1.4594,1,2,2,1.0574,1
109,1,2,15,2,NaN,0,NaN,0,1,1,1.2453,1
109,1,2,16,3,2,2,1.3983,1,1,1,1.0183,1
